"","Country","F_fpv_alt"
"1","LBY",0
"2","SDN",10
"3","AFG",0
"4","MOZ",0
"5","NER",0
"6","DZA",0
"7","ETH",0
"8","IRQ",0
"9","SSD",10
"10","CAF",0
"11","TCD",0
"12","HRV",0
"13","LBN",0
"14","MDV",0
"15","MRT",0
"16","UKR",0
"17","ZWE",10
"18","BLR",0
"19","BRA",10
"20","CPV",0
"21","HTI",0
"22","HND",0
"23","PER",0
"24","SRB",0
"25","SOM",0
"26","YEM",0
"27","ARM",0
"28","CMR",0
"29","COL",0
"30","COD",0
"31","GRD",0
"32","GIN",0
"33","IRN",0
"34","KEN",0
"35","MWI",0
"36","MLI",0
"37","MNE",0
"38","NGA",10
"39","PNG",0
"40","ROU",0
"41","ZAF",0
"42","TJK",10
"43","ZMB",0
"44","ALB",0
"45","ATG",0
"46","ARG",10
"47","BRB",0
"48","BOL",0
"49","BFA",0
"50","DMA",0
"51","EGY",0
"52","SLV",0
"53","ERI",0
"54","GEO",0
"55","GTM",0
"56","LSO",0
"57","MUS",0
"58","MMR",0
"59","PAK",0
"60","SYC",0
"61","ESP",0
"62","SUR",0
"63","SYR",0
"64","TLS",0
"65","TTO",0
"66","TUN",0
"67","UGA",0
"68","VEN",0
"69","AGO",0
"70","BHS",0
"71","BLZ",0
"72","BIH",0
"73","BWA",0
"74","BRN",0
"75","BGR",0
"76","CYP",0
"77","DJI",0
"78","ECU",0
"79","GNQ",0
"80","FJI",0
"81","GRC",0
"82","GUY",0
"83","HUN",0
"84","KAZ",0
"85","MYS",0
"86","NIC",0
"87","OMN",0
"88","PLW",0
"89","POL",0
"90","LCA",0
"91","SLB",0
"92","ARE",0
"93","AZE",0
"94","BHR",0
"95","BGD",10
"96","BTN",0
"97","BDI",0
"98","KHM",0
"99","CHN",0
"100","COM",0
"101","COG",0
"102","FRA",0
"103","GAB",0
"104","GMB",0
"105","DEU",0
"106","KIR",0
"107","PRK",0
"108","KWT",0
"109","LUX",0
"110","MDG",0
"111","MLT",0
"112","MEX",0
"113","FSM",0
"114","MDA",0
"115","MNG",0
"116","MAR",0
"117","NRU",0
"118","PAN",0
"119","RWA",0
"120","WSM",0
"121","STP",0
"122","SAU",0
"123","SEN",0
"124","SLE",0
"125","TZA",0
"126","TGO",0
"127","TUR",0
"128","TKM",0
"129","TUV",0
"130","UZB",0
"131","VUT",0
"132","AUS",0
"133","AUT",0
"134","BEL",0
"135","CHL",0
"136","CUB",0
"137","CZE",0
"138","DOM",0
"139","EST",0
"140","ISL",0
"141","IND",0
"142","IRL",0
"143","ISR",0
"144","ITA",0
"145","JPN",0
"146","JOR",0
"147","LVA",0
"148","LBR",0
"149","LTU",0
"150","NLD",0
"151","NZL",0
"152","MKD",0
"153","PHL",0
"154","PRT",0
"155","QAT",0
"156","KNA",0
"157","VCT",0
"158","SGP",0
"159","SVN",0
"160","SWE",0
"161","CHE",0
"162","THA",0
"163","TON",0
"164","USA",0
"165","URY",0
"166","BEN",0
"167","CAN",0
"168","CRI",0
"169","CIV",0
"170","DNK",0
"171","SWZ",0
"172","FIN",0
"173","GHA",0
"174","GNB",0
"175","IDN",0
"176","JAM",0
"177","KOR",0
"178","KGZ",10
"179","LAO",0
"180","LIE",0
"181","MHL",0
"182","NAM",0
"183","NPL",0
"184","NOR",0
"185","PRY",0
"186","RUS",0
"187","SVK",0
"188","LKA",0
"189","GBR",0
"190","VNM",0
