"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"1","Libya","LBY",2.89634285875032,3.70158450704228,NA,8.04166948859879,NA,6.85048459907861,5.57142857142857,2.25,10,2,3,7.8000415688963,8.28463110470094,0,0,0,0,0,10,1,1,10,0,0,0,0,10,2,2,10,0,0,0,0,10,2,2,7.99992395826176,NA,6.08387766581371,5.3851648071345,0,10,2,3,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,1,2,7.22333897719757,NA,7,3.70158450704228,0,10,1,2,6.08406484765102,0.742090667758903,NA,0.925609846706926,NA,NA,NA,0,0.4
"2","Sudan","SDN",0.589093890462374,3.26144366197185,NA,7.82520462044896,10,6.63072183098592,9.21428571428572,2.66666666666667,9.86588552136277,4,4.5,7.50585967664164,7.8424544888051,0,10,0,0,0,0,1,1,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.64387910609072,10,5.71090506134698,9.18072515031979,0,9.86497391923848,4,4.5,9.5,10,10,8.42857142857143,5.33333333333333,10,3,4,6.15040924089792,10,10,3.26144366197185,0,9.73177104272555,2,2.5,5.6337929485435,2.42153437291873,NA,1.73205080756888,NA,0.157134840263677,0.606091526731326,0,0.2
"3","Afghanistan","AFG",2.00367330867984,6.6505281690141,NA,8.53384615384616,10,6.76514840643666,8.5,8.25,5,4,5,2.85570955279429,7.780423744909,0,10,0,0,0,0,1,1,10,10,0,10,10,0,4,4,10,10,0,10,10,0,4,4,8.40695682616029,10,6.76417734556728,8.36660026534076,8.15475321515004,0,4,4.5,10,10,6.87976864385922,10,9.5,0,3,3.5,7.06769230769231,10,7,6.6505281690141,7,10,2,3.5,8.15507704992056,1.32449915271366,NA,0.873261395711848,1.4142135623731,0,NA,0,0.2
"4","Mozambique","MOZ",2.48099579722353,4.8899647887324,NA,10,10,5.90640252727292,9.58930015563965,4,10,4,4.5,8.36231326737079,6.81464230869842,10,10,0,0,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,10,10,5.81828541220234,9.58050119319407,0,10,4,4.5,10,10,6.92284026581344,10,8,10,4,4.5,10,10,9.1786003112793,4.8899647887324,0,10,3,3.5,6.99282831816455,1.05362946547227,NA,0.894630735954645,NA,0.346410161513775,NA,0,0.1
"5","Niger","NER",0.480705982389337,4.18573943661971,NA,8.73384615384616,10,4.45288694695864,8.5,2.91666666666667,10,4,4,8.0434626124664,2.56807522463606,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.64158105192118,10,4.44486606886128,8.36660026534076,0,10,4,4,10,10,4.72003445729757,10,5.83333333333333,10,4,4,7.46769230769231,10,7,4.18573943661971,0,10,2,3,6.46972907981448,1.71942614954882,NA,0.866025403784439,NA,0.249567099242311,NA,0,0.2
"6","Algeria","DZA",1.08244756481002,8.63116197183098,NA,7.34905125154983,1.98325358851675,7.9554406954897,6.55071428571429,3.08333333333333,0,2,2.5,1.71402564962216,7.36077611607612,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,5,0,10,0,0,0,1,1.5,7.09083854200368,1.72235512512185,7.92669145458263,5.83401356578079,0,0,2,2.5,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,0,1,5.41810250309967,1,9.53000000000001,8.63116197183098,0,0,0,1,2.93788392756266,1.49036128892675,NA,NA,NA,NA,NA,0,0.3
"7","Ethiopia","ETH",0.659725339597124,6.43045774647888,NA,7.81768052708409,10,8.05801745310653,8.15844903673445,2.83333333333333,10,5,5,8.95489447005523,7.67161068757284,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.57510859843869,10,7.8919385879473,8.12847572613195,0,10,5,5,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,10,2,3.5,5.88536105416818,10,7.45975521632603,6.43045774647888,0,10,2,2.5,8.01901349698258,2.41535896992409,NA,0.892027384479194,NA,0.346410161513775,NA,0,0.1
"8","Iraq","IRQ",2.28093398107747,8.85123239436621,NA,8.05662,3.45454545454546,8.89614290158872,2.85714285714285,3.83333333333333,10,3,3,9.69953547780891,7.59645496951204,0,0,0,0,0,10,1,1,10,0,10,0,0,10,3,3,10,0,10,0,0,10,3,3,8.01844383905007,2.43086217402199,8.89602953973448,0,0,10,3,3,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,1,2.5,7.27324,1,0,8.85123239436621,0,10,1,2,9.40809884852738,0.916883075561314,NA,1.21539247220165,NA,NA,NA,0,0.3
"9","South Sudan","SSD",0.166465485759399,NA,NA,8.72615384615385,10,NA,10,2.5,10,4,4,10,8.18707265456631,0,10,0,10,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.6326749575712,10,NA,10,0,10,4,4,10,10,NA,10,5,10,4,4,7.45230769230769,10,10,NA,0,10,3,3.5,10,2.43732631905722,NA,0.866025403784439,NA,0.157134840263677,NA,0,0.2
"10","Central African Republic","CAF",0.245081806832915,9.68750000000001,NA,10,10,7.8344588358356,7.93927437918527,1.75,9.2382791886899,5,5,9.51936147016158,5.41172292274152,10,10,0,0,0,0,2,2,10,10,0,0,0,10,3,3,10,10,0,5,0,10,3,3.5,10,10,7.61216025148674,7.66716946360946,0,9.20682267526632,5,5,10,10,5.98141767167118,10,3.5,10,4,4,10,10,5.87854875837054,9.68750000000001,0,8.4765583773798,2,3,9.06182427995969,2.44815223239213,NA,0.0886588321423326,NA,NA,NA,0,0.3
"11","Chad","TCD",0.0733855819629393,7.31073943661973,NA,8.16538461538461,8.5,6.7445279757551,9.77289581298828,2.66666666666667,10,4,4.5,9.24677577075104,2.88173962144656,0,0,0,0,0,10,1,1,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.95661311788454,8.36660026534076,6.72071887504073,9.77025671411788,0,10,4,4.5,10,10,6.17831651489048,10,5.33333333333333,10,4,4,6.33076923076923,7,9.54579162597656,7.31073943661973,0,10,1,2.5,8.55028621545486,2.44350925724989,NA,0.866025403784439,NA,NA,NA,0,0.3
"12","Croatia","HRV",1.51900695040558,10,NA,4.47884615384615,1.11004784688995,6.49858478956436,5.78571428571428,3.16666666666667,2.5,0,1,2.65914794847249,7.14960698044674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41914540990067,1.10457941940808,5.47464115639438,3.96412483586046,0,0,0,0.5,3.75,1.2200956937799,2.99716957912872,1.57142857142857,6.33333333333333,0,0,0,5.20769230769231,1,10,10,0,5,2,2,7.07106781186548,1.6528029448267,NA,1.73205080756888,NA,NA,1.04251712046238,0,0.3
"13","Lebanon","LBN",1.66327443211357,9.95158450704226,NA,8.75,6.6866028708134,9.97579225352113,2.78571428571429,8.5,5,3,4,5.61659435100152,10,0,0,0,0,0,0,0,0,10,0,10,0,10,0,3,3,10,0,10,0,10,0,3,3,8.66025403784439,5.80793056228016,9.97576288162577,0,8.36660026534076,0,3,3.5,7.5,3.37320574162679,10,5.57142857142857,7,10,2,3,10,10,0,9.95158450704226,10,0,3,3.5,3.15461321037021,1.55511380291702,NA,NA,1.4142135623731,NA,NA,0,0.3
"14","Maldives","MDV",NA,NA,NA,8.51456,NA,NA,NA,1.83333333333334,0,1,1,1,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,10,0,0,0,0,0,1,1,8.41862392555933,NA,NA,NA,0,0,1,1,7.24,2.91866028708134,NA,3.14285714285714,3.66666666666667,0,0,0.5,9.78912,NA,NA,NA,0,0,0,0.5,1,1.87087150754103,NA,NA,NA,NA,NA,0,0.6
"15","Mauritania","MRT",1.11122929612235,0,NA,7.41,7.56698564593302,3.55986955451637,7.64285714285714,3.83333333333333,0,3,3,1,5.76439665990508,0,0,0,0,0,0,0,0,0,10,0,10,0,0,2,2,5,10,0,10,0,0,2,2.5,7.10914903487049,7.5457139518446,0,7.61577310586391,0,0,3,3,9.5,8.13397129186603,7.11973910903274,8.28571428571428,7.66666666666667,0,0,2.5,5.32,7,7,0,0,0,0,1,1,1.35409230591441,NA,NA,NA,NA,NA,0,0.3
"16","Ukraine","UKR",1.59760929281123,9.02728873239439,NA,6.52633143071219,NA,8.83649693818833,4.82142857142857,1.83333333333334,2.01510537758515,1,1.5,2.45595990689186,8.1563857568315,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,10,0,0,0,1,1,6.5251086054652,NA,8.83443697299808,4.00891862868636,0,0,1,1.5,6.4,2.29665071770335,8.64570514398228,2.14285714285714,3.66666666666667,0,0,0.5,6.65266286142438,NA,7.5,9.02728873239439,0,4.03021075517029,0,1,6.03173906426028,1.66042512759474,NA,1.73205080756888,NA,NA,1.30884861696751,0,0.4
"17","Zimbabwe","ZWE",3.47476686231438,6.29841549295775,NA,9.125,10,8.14920774647888,9.21428571428572,3.08333333333333,10,5,5,8.90856650915841,5.61887054986346,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,9.08295106229247,10,7.93625572480987,9.18072515031979,0,10,5,5,8.25,10,10,8.42857142857143,6.16666666666667,10,3,4,10,10,10,6.29841549295775,0,10,4,4,7.93625572480987,0.789528242649091,NA,1.73205080756888,NA,0.471404520791032,NA,0,0.2
"18","Belarus","BLR",1.62243114610014,10,NA,6.13,2.01435406698565,9.10749446222004,4.28571428571428,1,0,1,1.5,1.77827941003892,7.20042765710969,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,10,0,0,0,1,1,6.07624884283058,1.75673686188737,9.06365760851549,3.3166247903554,0,0,1,1.5,6.94,1.02870813397129,8.21498892444007,1.57142857142857,2,0,0,0.5,5.32,3,7,10,0,0,1,1.5,3.16227766016838,1.03690474294605,NA,NA,NA,NA,NA,0,0.3
"19","Brazil","BRA",NA,9.11531690140845,NA,6.875,NA,7.18225849992893,7.5,2.5,2.45947315291001,2,2.5,2.58768234901613,9.93045881045957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,6.12372435695795,NA,6.91723372283104,7.07106781186548,0,0,1,2,3.75,3.73205741626794,5.24920009844942,5,5,0,0,0,10,NA,10,9.11531690140845,0,4.91894630582001,2,2.5,6.69609993940964,0.775184379120435,NA,1.73205080756888,NA,NA,1.1725621050722,0,0.3
"20","Cabo Verde","CPV",1.69107397077356,7.04665492957748,NA,5.97138,4.68181818181818,5.78489527182787,6.42197695811943,0.416666666666667,0,0,1.5,1.62928009302572,6.01072382965741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56367382221496,4.36931448752651,5.64561563269163,6.41532100846757,0,0,0,1.5,8.14,6.36363636363636,4.52313561407827,6.71428571428571,0.833333333333334,0,0,0.5,3.80276,3,6.12966820195315,7.04665492957748,0,0,0,0.5,2.6545536215299,1.21746653924958,NA,NA,NA,NA,1.64734485500584,0,0.3
"21","Haiti","HTI",1.25010523213316,4.8899647887324,NA,6.82692307692307,10,6.07561247066451,9.85714285714285,5,10,3,4.5,8.36231326737079,4.12470453950156,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,0,10,0,10,0,10,3,3,6.04470524826989,10,5.95880075753696,9.85610760609162,0,10,3,4,10,10,7.26126015259661,9.71428571428571,10,10,4,5,3.65384615384615,10,10,4.8899647887324,0,10,3,3,6.99282831816455,1.16739457716307,NA,0.871056202933051,NA,0.343174292512307,NA,0,0.1
"22","Honduras","HND",1.6748533365495,2.24911971830987,NA,7.40236395377546,8.07416267942584,3.04463123498561,6.51988288334438,4.58333333333333,5,2,3,2.17772553392375,7.95281579539657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,7.3235027586553,7.84112578578591,2.93886726203928,6.40954559153505,0,0,2,2.5,8.48,6.14832535885167,3.84014275166134,7.71428571428572,9.16666666666667,0,0,1.5,6.32472790755092,10,5.32548005240304,2.24911971830987,0,10,2,2,4.74248850110348,0.961958295041143,NA,1.16098855263353,NA,0.76149961050859,0.926879929832292,0,0.2
"23","Peru","PER",2.11656555937085,10,NA,7.875,NA,5.28950283042087,7.35714285714285,5,5,2,3.5,3.16227766016838,8.97579452547576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,7.58287544405155,NA,2.40625364590216,6.86606562325595,0,0,1,1.5,5.75,6.65071770334928,0.579005660841744,4.71428571428571,10,0,1,1,10,NA,10,10,0,10,4,4,10,1.24940616621316,NA,1.73205080756888,NA,NA,1.10656884455476,0,0.3
"24","Serbia","SRB",1.41979911863267,4.66989436619718,NA,7.125,3.44976076555024,4.99954230985222,6.14285714285715,2.91666666666667,0,1,1.5,1.47003191720861,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51920240520265,3.42031644636888,4.98866270068908,4.78091443733758,0,0,0,0.5,4.25,3.89952153110048,5.32919025350726,2.28571428571429,5.83333333333333,0,0,0,10,3,10,4.66989436619718,0,0,2,2,2.16099383761203,2.13949644620994,NA,NA,NA,NA,NA,0,0.3
"25","Somalia","SOM",1.13820284795534,9.51144366197182,NA,9.22170447755538,10,9.75572183098591,8,9.91666666666666,5,5,5.5,3.12292539979923,9.18880240026455,0,10,0,0,0,0,1,1,10,10,10,10,10,0,5,5,10,10,10,10,10,0,5,5,9.18880240026455,10,9.7526630527112,7.93725393319377,9.91631652042901,0,5,5,10,10,10,9,9.83333333333333,0,3,4,8.44340895511076,10,7,9.51144366197182,10,10,3,4.5,9.75266305271121,1.78228486079481,NA,1.73205080756888,1.4142135623731,0,NA,0,0.2
"26","Yemen","YEM",0.464943850642075,10,NA,8.34153846153846,10,10,NA,2.75,5,3,3.5,3.16227766016838,6.59883683114558,0,10,10,0,0,0,2,2,0,10,10,0,0,0,2,2,5,10,10,0,0,0,2,2.5,8.17500882144901,10,10,NA,0,0,3,3,10,10,10,10,5.5,0,4,4,6.68307692307692,10,NA,10,0,10,3,3,10,2.4289712338605,NA,1.13200158192054,NA,0,NA,0,0.1
"27","Armenia","ARM",NA,4.44982394366198,NA,3.06278014062523,1.85167464114832,4.39725999053638,6.35714285714285,2.91666666666667,0,0,0.5,1.45239821715878,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91586027185834,1.64418651079999,4.39694580990076,5.20988072251727,0,0,0,0.5,4,2.70334928229665,4.34469603741078,2.71428571428571,5.83333333333333,0,0,0,2.12556028125045,1,10,4.44982394366198,0,0,1,1,2.10946058120601,0.593545310133278,NA,NA,NA,NA,NA,0,0.3
"28","Cameroon","CMR",1.41591687526141,5.99031690140845,NA,8.97576923076923,9.06698564593302,5.9397191201603,7.71428571428572,2.16666666666667,10,4,4.5,8.79756429661458,5.55580177804234,0,0,0,0,0,10,1,1,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.97157905662268,9.01885319309835,5.93950360644141,7.68114574786861,0,10,4,4.5,9.25,8.13397129186603,5.88912133891214,8.42857142857143,4.33333333333333,10,1,2.5,8.70153846153846,10,7,5.99031690140845,0,10,2,3,7.73971375530675,2.00863392728411,NA,1.06287758190246,NA,0.76149961050859,NA,0,0.2
"29","Colombia","COL",2.28218843076364,2.11707746478873,NA,7.875,5.03588516746411,3.02168173017925,7.57142857142857,8.25,5,3,4,2.14503403430552,6.88179908526353,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,5,0,0,5,10,0,1,2,7.58287544405155,5.03575730894978,2.88309757058903,7.17137165600636,8.15475321515004,0,3,3.5,5.75,5.07177033492823,3.92628599556978,5.14285714285714,9.5,0,0,0.5,10,5,10,2.11707746478873,7,10,3,3.5,4.601171008329,1.19054007050166,NA,0.867961568217991,1.4142135623731,NA,1.04761904761905,0,0.3
"30","Congo DR","COD",1.44378407392666,9.07130281690143,NA,10,10,9.53565140845071,9.71428571428572,2.91666666666667,10,5,5,9.75927186119699,9.09740689156837,10,10,0,0,0,10,3,3,10,10,10,10,0,10,5,5,10,10,10,10,0,10,5,5,10,10,9.52433872607512,9.71008312455225,0,10,5,5,10,10,10,9.42857142857143,5.83333333333333,10,4,4.5,10,10,10,9.07130281690143,0,10,4,4.5,9.52433872607512,1.35399407424739,NA,0.886934830174054,NA,0.249567099242311,NA,0,0.1
"31","Grenada","GRD",NA,NA,NA,4.25033333333333,1,NA,NA,0.583333333333335,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752772652709541,1,NA,NA,0,0,0,0,8.5,NA,NA,2.71428571428571,1.16666666666667,0,0,0.5,0.000666666666667481,1,NA,NA,0,0,0,0,1,1.36930639376292,NA,NA,NA,NA,NA,0.2,0.4
"32","Guinea","GIN",1.32593359759209,5.99031690140844,NA,10,6.91387559808612,7.5979765653978,7.42857142857143,2.41666666666667,2.70842916787598,3,3.5,2.38670816586847,5.82933057414294,10,0,0,0,0,0,1,1,10,0,0,10,0,0,2,2,10,0,0,10,0,0,2,2,10,6.6437004734456,7.42594628940418,7.41619848709566,0,0,3,3.5,10,8.82775119617225,9.20563622938716,7.85714285714286,4.83333333333333,0,1,2.5,10,5,7,5.99031690140844,0,5.41685833575196,1,1.5,5.69637586902323,1.13907199619181,NA,1.73205080756888,NA,NA,NA,0,0.3
"33","Iran","IRN",2.10098687135805,10,NA,6.6173,NA,10,3.91071428571428,8.33333333333334,3.22416693061622,2,2.5,2.83375225494753,7.420300684579,0,0,10,0,0,0,1,1,0,0,10,0,10,0,2,2,0,0,10,0,10,0,2,2,6.61543014474494,NA,10,3.89596861236989,8.22597511950205,0,2,2.5,6.46,2.96650717703349,10,3.57142857142857,9.66666666666667,0,1,1.5,6.7746,NA,4.24999999999999,10,7,6.44833386123243,1,1.5,8.03015184242019,0.88876203080312,NA,1.73205080756888,1.4142135623731,NA,NA,0,0.4
